Away,Away PTS,Home,Home PTS
Brooklyn Nets,101,Philadelphia 76ers,121
Atlanta Hawks,99,Boston Celtics,112
New York Knicks,101,Cleveland Cavaliers,97
Golden State Warriors,123,Sacramento Kings,126
Los Angeles Lakers,128,Memphis Grizzlies,112
Miami Heat,130,Milwaukee Bucks,117
Los Angeles Clippers,115,Phoenix Suns,110
Minnesota Timberwolves,80,Denver Nuggets,109
Brooklyn Nets,84,Philadelphia 76ers,96
Golden State Warriors,106,Sacramento Kings,114
Atlanta Hawks,106,Boston Celtics,119
New York Knicks,90,Cleveland Cavaliers,107
Los Angeles Clippers,109,Phoenix Suns,123
Los Angeles Lakers,93,Memphis Grizzlies,103
Miami Heat,122,Milwaukee Bucks,138
Minnesota Timberwolves,113,Denver Nuggets,122
Philadelphia 76ers,102,Brooklyn Nets,97
Sacramento Kings,97,Golden State Warriors,114
Phoenix Suns,129,Los Angeles Clippers,124
Boston Celtics,122,Atlanta Hawks,130
Cleveland Cavaliers,79,New York Knicks,99
Denver Nuggets,120,Minnesota Timberwolves,111
Philadelphia 76ers,96,Brooklyn Nets,88
Phoenix Suns,112,Los Angeles Clippers,100
Milwaukee Bucks,99,Miami Heat,121
Memphis Grizzlies,101,Los Angeles Lakers,111
Cleveland Cavaliers,93,New York Knicks,102
Sacramento Kings,125,Golden State Warriors,126
Boston Celtics,129,Atlanta Hawks,121
Denver Nuggets,108,Minnesota Timberwolves,114
Milwaukee Bucks,114,Miami Heat,119
Memphis Grizzlies,111,Los Angeles Lakers,117
Atlanta Hawks,119,Boston Celtics,117
Minnesota Timberwolves,109,Denver Nuggets,112
Los Angeles Clippers,130,Phoenix Suns,136
New York Knicks,106,Cleveland Cavaliers,95
Los Angeles Lakers,99,Memphis Grizzlies,116
Miami Heat,128,Milwaukee Bucks,126
Golden State Warriors,123,Sacramento Kings,116
Boston Celtics,128,Atlanta Hawks,120
Sacramento Kings,118,Golden State Warriors,99
Memphis Grizzlies,85,Los Angeles Lakers,125
Phoenix Suns,107,Denver Nuggets,125
Miami Heat,108,New York Knicks,101
Golden State Warriors,120,Sacramento Kings,100
Philadelphia 76ers,119,Boston Celtics,115
Phoenix Suns,87,Denver Nuggets,97
Miami Heat,105,New York Knicks,111
Los Angeles Lakers,117,Golden State Warriors,112
Philadelphia 76ers,87,Boston Celtics,121
Los Angeles Lakers,100,Golden State Warriors,127
Boston Celtics,114,Philadelphia 76ers,102
Denver Nuggets,114,Phoenix Suns,121
New York Knicks,86,Miami Heat,105
Golden State Warriors,97,Los Angeles Lakers,127
Boston Celtics,115,Philadelphia 76ers,116
Denver Nuggets,124,Phoenix Suns,129
New York Knicks,101,Miami Heat,109
Golden State Warriors,101,Los Angeles Lakers,104
Philadelphia 76ers,115,Boston Celtics,103
Phoenix Suns,102,Denver Nuggets,118
Miami Heat,103,New York Knicks,112
Los Angeles Lakers,106,Golden State Warriors,121
Boston Celtics,95,Philadelphia 76ers,86
Denver Nuggets,125,Phoenix Suns,100
New York Knicks,92,Miami Heat,96
Golden State Warriors,101,Los Angeles Lakers,122
Philadelphia 76ers,88,Boston Celtics,112
Los Angeles Lakers,126,Denver Nuggets,132
Miami Heat,123,Boston Celtics,116
Los Angeles Lakers,103,Denver Nuggets,108
Miami Heat,111,Boston Celtics,105
Denver Nuggets,119,Los Angeles Lakers,108
Boston Celtics,102,Miami Heat,128
Denver Nuggets,113,Los Angeles Lakers,111
Boston Celtics,116,Miami Heat,99
Miami Heat,97,Boston Celtics,110
Boston Celtics,104,Miami Heat,103
Miami Heat,103,Boston Celtics,84
Miami Heat,93,Denver Nuggets,104
Miami Heat,111,Denver Nuggets,108
Denver Nuggets,109,Miami Heat,94
Denver Nuggets,108,Miami Heat,95
Miami Heat,89,Denver Nuggets,94
