Tm,W,L,W/L%,ORtg,DRtg,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%
Denver Nuggets,16,4,0.8,119.5,110.8,0.593,0.557,10.8,25.2,0.206,80.7
Boston Celtics,11,9,0.55,117.2,113.7,0.594,0.56,11.6,23,0.189,77.5
Los Angeles Lakers,8,8,0.5,113.7,111.3,0.573,0.529,10.9,21.1,0.23,74
Miami Heat,13,10,0.565,114.1,112.5,0.567,0.531,10.9,21.5,0.185,74.9
New York Knicks,6,5,0.545,108.9,108.5,0.537,0.492,13.6,30.8,0.246,76.8
Golden State Warriors,6,7,0.462,111.9,112.1,0.553,0.525,12.3,26.6,0.158,75.3
Philadelphia 76ers,7,4,0.636,111.2,112.8,0.555,0.51,11.8,23.5,0.201,81.4
Sacramento Kings,3,4,0.429,110.7,112.8,0.532,0.493,11.7,28.9,0.205,73.8
Phoenix Suns,6,5,0.545,117,119.4,0.588,0.55,11.1,22.9,0.215,73.4
Milwaukee Bucks,1,4,0.2,114,118.9,0.582,0.559,12.4,22.5,0.164,82.2
Atlanta Hawks,2,4,0.333,115,120.3,0.558,0.529,11,25.1,0.144,78.5
Cleveland Cavaliers,1,4,0.2,103.4,109.3,0.544,0.513,15.4,23.2,0.176,65.1
Los Angeles Clippers,1,4,0.2,117.1,123.6,0.577,0.529,12.3,26.8,0.246,72.7
Memphis Grizzlies,2,4,0.333,104,111.4,0.504,0.465,11.1,25.6,0.168,74.6
Minnesota Timberwolves,1,4,0.2,109.7,118.9,0.565,0.525,12.1,19.5,0.225,75.1
Brooklyn Nets,0,4,0,103.1,115.6,0.542,0.513,12.6,14,0.172,68.8
